date,pressure,wind_speed,humidity,PM10,temperature,PM2.5
2018-06-30 0:00:00,100502.8472,2.182579667,76.90972222,36,29.62847222,14
2018-07-01 0:00:00,100552.8125,2.005781556,77.88888889,34,29.50381944,16
2018-07-02 0:00:00,100566.9097,2.750382556,79.55902778,36,28.87569444,14
2018-07-03 0:00:00,100518.9236,2.816817667,73.94097222,34,29.32777778,15
2018-07-04 0:00:00,100498.7153,3.035215333,72.71180556,47,29.42430556,14
2018-07-05 0:00:00,100364.9306,3.437551333,71.08333333,42,29.79618056,16
2018-07-06 0:00:00,100321.9097,3.615125556,74.71875,46,29.00069444,16
2018-07-07 0:00:00,100365.6944,3.827314333,70.86111111,49,29.5625,20
2018-07-08 0:00:00,100305.2431,3.434757333,69.75,47,30.16388889,23
2018-07-09 0:00:00,100376.2847,2.506062778,75.84375,54,28.99965278,20
2018-07-10 0:00:00,100429.7917,3.385396667,77.21875,39,28.99826389,24
2018-07-11 0:00:00,100388.6111,4.218474333,73.25,45,28.82222222,16
2018-07-12 0:00:00,100296.7708,3.660605667,72.69791667,42,29.08958333,17
2018-07-13 0:00:00,100247.8397,4.076163679,72.22648084,60,29.47560976,16
2018-07-14 0:00:00,100290.9028,2.845999444,74.45138889,40,29.26006944,24
2018-07-15 0:00:00,100403.2639,3.563281333,74.40972222,49,29.33020833,19
2018-07-16 0:00:00,100384.3403,3.546051667,76.63541667,47,28.82881944,21
2018-07-17 0:00:00,100150.3125,2.730514111,86.08333333,37,27.48125,23
2018-07-18 0:00:00,100024.2361,4.508429444,76.67361111,31,28.66284722,16
2018-07-19 0:00:00,100237.1181,1.754166333,78.35069444,39,28.78993056,15
2018-07-20 0:00:00,100401.7708,1.624555778,79.23611111,44,29.81423611,17
2018-07-21 0:00:00,100486.7944,3.002021575,74.29616725,39,30.42578397,20
2018-07-22 0:00:00,100490.6944,2.897378,77.10416667,47,29.47152778,19
2018-07-23 0:00:00,100428.8889,2.801916333,76.54861111,56,29.65763889,23
2018-07-24 0:00:00,100492.2569,3.28295,71.78819444,49,29.75902778,28
2018-07-25 0:00:00,100516.1111,2.769630111,75.77430556,47,29.81493056,22
2018-07-26 0:00:00,100527.5694,2.435281444,75.77430556,46,29.67847222,21
2018-07-27 0:00:00,100461.4286,3.146258174,74.32404181,36,30.15226481,22
2018-07-28 0:00:00,100456.1111,2.705212889,75.21180556,38,29.97916667,18
2018-07-29 0:00:00,100425.4167,2.126699667,78.60763889,44,29.12777778,20
2018-07-30 0:00:00,100509.375,1.834571444,82.30555556,45,27.88159722,20
2018-07-31 0:00:00,100630.1736,2.173887222,72.68402778,42,29.08611111,21
2018-08-01 0:00:00,100607.4306,3.205649333,71.36805556,46,29.39201389,21
2018-08-02 0:00:00,100651.4583,3.950405556,68.26041667,43,29.53125,23
2018-08-03 0:00:00,100534.3403,3.646325222,69.58680556,37,29.44965278,21
2018-08-04 0:00:00,100444.8611,2.833736889,72.44444444,44,29.69895833,18
2018-08-05 0:00:00,100472.5347,2.771027111,76.96180556,32,29.065625,17
2018-08-06 0:00:00,100460.2778,1.516055444,82.15277778,41,28.06493056,18
2018-08-07 0:00:00,100349.7569,0.748481556,84.17361111,53,28.46215278,22
2018-08-08 0:00:00,100373.9931,3.201147889,75.94444444,42,28.89548611,30
2018-08-09 0:00:00,100414.6875,4.539629111,69.04861111,34,29.14513889,20
2018-08-10 0:00:00,100452.8819,2.769474889,71.35069444,34,29.06944444,19
2018-08-11 0:00:00,100422.2222,2.687672778,77.06944444,32,28.54270833,15
2018-08-12 0:00:00,100352.4653,3.367701333,73.42013889,33,28.99895833,14
2018-08-13 0:00:00,100398.4669,2.230838634,78.7456446,34,29.35923345,15
2018-08-14 0:00:00,100423.125,3.200371778,77.37847222,36,29.39409722,16
2018-08-15 0:00:00,100573.0556,2.818680333,81.56944444,49,28.53159722,16
2018-08-16 0:00:00,100401.7422,2.778657338,76.27874564,38,29.00487805,18
2018-08-17 0:00:00,100054.2509,2.957940627,76.44947735,23,29.04878049,17
2018-08-18 0:00:00,100113.0208,1.203593111,80.57291667,30,28.66006944,11
2018-08-19 0:00:00,100363.75,1.977996778,81.63194444,32,28.63958333,11
2018-08-20 0:00:00,100562.2569,1.907525889,81.61111111,52,29.36111111,15
2018-08-21 0:00:00,100442.6132,2.001711164,80.38675958,46,29.51881533,26
2018-08-22 0:00:00,100352.0486,2.737188667,77.11805556,48,29.31354167,23
2018-08-23 0:00:00,100430.2778,2.10947,78.36111111,36,29.23993056,25
2018-08-24 0:00:00,100540.3125,1.796542,81.16666667,28,28.38680556,21
2018-08-25 0:00:00,100567.4306,1.387376222,87.45138889,30,27.18576389,16
2018-08-26 0:00:00,100475.1736,1.450706889,86.82638889,29,27.07465278,15
2018-08-27 0:00:00,100576.0417,1.769688556,88.26041667,43,26.47743056,16
2018-08-28 0:00:00,100713.7153,2.194066111,81.93055556,52,27.40416667,20
2018-08-29 0:00:00,100628.2986,2.240943222,75.97916667,33,28.66701389,25
2018-08-30 0:00:00,100486.2153,2.412308556,75.60069444,33,28.65138889,14
2018-08-31 0:00:00,100650.1042,1.55067,81.48263889,43,27.76423611,16
2018-09-01 0:00:00,100829.0625,1.486408,81.10763889,40,28.56666667,20
2018-09-02 0:00:00,100634.7917,3.190903222,73.07986111,31,29.94444444,19
2018-09-03 0:00:00,100569.375,2.637070333,78.93402778,26,28.65173611,16
2018-09-04 0:00:00,100701.1111,1.619433444,82.21180556,38,27.53194444,15
2018-09-05 0:00:00,100736.8403,2.452976778,81.43055556,43,27.27430556,18
2018-09-06 0:00:00,100580.6597,3.172897444,75.16666667,49,28.71527778,23
2018-09-07 0:00:00,100460.7292,3.446709444,72.53472222,49,30.26527778,23
2018-09-08 0:00:00,100484.4792,1.348260222,76.04861111,53,28.94305556,28
2018-09-09 0:00:00,100711.0764,0.347853,83.69097222,56,27.88506944,34
2018-09-10 0:00:00,100921.2847,0.291507333,84.35763889,41,28.19027778,39
2018-09-11 0:00:00,100810.9028,2.038223,76.73958333,41,29.54861111,21
2018-09-12 0:00:00,100629.9301,1.256870154,80.65034965,42,28.66678322,21
2018-09-13 0:00:00,100524.3403,1.835192333,80.04513889,34,28.16527778,22
2018-09-14 0:00:00,100521.9444,2.941771556,86.60763889,36,26.74097222,18
2018-09-15 0:00:00,100419.2334,1.916041477,86.58536585,37,27.54216028,21
2018-09-16 0:00:00,100235.8333,1.128310333,87.31944444,37,27.52604167,20
2018-09-17 0:00:00,100266.5972,2.476415333,74.40625,26,29.26111111,16
2018-09-18 0:00:00,100552.3264,2.416033889,74.17708333,33,29.26006944,13
2018-09-19 0:00:00,100791.3889,1.652651,82.01388889,48,27.80486111,16
2018-09-20 0:00:00,100794.2014,1.672829889,80.89236111,56,28.51770833,25
2018-09-21 0:00:00,100789.8264,1.706047444,75.04166667,43,30.209375,31
2018-09-22 0:00:00,100908.9931,2.287354667,76.39583333,35,29.69791667,24
2018-09-23 0:00:00,100973.4028,1.727312889,82.13888889,46,28.28298611,20
2018-09-24 0:00:00,100936.25,1.121014889,88.42708333,48,27.25972222,25
2018-09-25 0:00:00,100778.6458,1.768446778,80.84027778,38,29.165625,26
2018-09-26 0:00:00,100672.3264,2.330196,73.92013889,38,29.94895833,16
2018-09-27 0:00:00,100623.3333,2.425968111,75.72569444,44,30.40625,16
2018-09-28 0:00:00,100609.4097,1.691146111,76.3125,49,30.39756944,22
2018-09-29 0:00:00,100609.5833,2.127475778,79.58680556,32,29.97708333,30
2018-09-30 0:00:00,100670.7292,1.669880667,77.42013889,33,29.13125,18
2018-10-01 0:00:00,100786.2847,1.843108667,83.08333333,42,28.22395833,19
2018-10-02 0:00:00,100879.2014,1.632161667,87.26736111,70,27.05798611,24
2018-10-03 0:00:00,100858.9583,1.572401111,77.38194444,58,29.25034722,38
2018-10-04 0:00:00,100845,2.338888444,70.98958333,27,29.83055556,38
2018-10-05 0:00:00,100915.3125,2.369777667,84.20486111,38,27.37083333,17
2018-10-06 0:00:00,100911.6667,1.414695333,84.51736111,42,27.83819444,22
2018-10-07 0:00:00,100897.8472,1.336773778,82.95138889,49,28.54965278,26
2018-10-08 0:00:00,100860,1.150041444,81.28819444,49,28.67847222,30
