Date,PM2.5,temperature,dewpoint,humidity,wind_speed,pressure,PM10,traffic
5/4/2018,34,29.99186047,25.25775194,76.48062016,1.935787163,100627.0543,57,4.151879699
6/4/2018,43,29.90703125,24.36757812,73.21875,1.282620625,100666.2109,31,3.161209964
7/4/2018,19,25.38313725,21.67960784,80.37647059,2.949236831,101097.4118,46,3.606761566
8/4/2018,28,25.72895753,18.00656371,62.86872587,2.518440402,101253.3977,67,2.852857143
9/4/2018,45,28.78710938,19.6484375,59.20703125,1.8601055,101016.0938,56,3.775531915
10/4/2018,38,31.03026052,22.0509018,60.18637275,1.462600208,100827.976,45,3.399090909
11/4/2018,30,30.28484848,25.3137741,75.31129477,1.912419879,100762.8099,35,3.570212766
12/4/2018,21,30.83172414,25.5037931,74.27931034,2.347114152,100672.1034,29,2.587234043
13/4/2018,19,31.14888889,25.97333333,74.83703704,2.187019022,100708.2222,28,2.076842105
14/4/2018,20,31.1390625,26.2609375,76.3046875,2.201497375,100626.6406,28,1.909507042
15/4/2018,20,31.30275591,26.31889764,75.3976378,2.26776,100628.7795,34,2.076678445
16/4/2018,24,31.44094488,25.89133858,73.27165354,2.071696,100753.2677,28,1.901403509
17/4/2018,19,26.99761905,24.43730159,86.21031746,2.172224127,100998.2143,45,2.726760563
18/4/2018,31,28.52529644,23.66205534,76.11857708,1.382466783,100921.9763,33,3.120284698
19/4/2018,22,30.44666667,25.17411765,74.08235294,1.933667137,100729.0196,33,3.410915493
20/4/2018,20,30.64703557,26.07312253,77.12648221,1.987649391,100693.1225,33,3.765836299
21/4/2018,22,30.95889328,25.8743083,75.01976285,2.030409739,100677.9447,28,3.564130435
