date,pressure,wind_speed,humidity,temperature,PM2.5,PM10
11/6/2018,100569.5139,2.775373333,77.05208333,30.18506944,12,29
12/6/2018,100650.5903,2.554492111,73.42708333,30.58402778,11,31
13/6/2018,100551.1307,3.057564042,72.18021201,30.82367491,13,34
14/6/2018,100490.1389,3.071226889,73.06597222,30.54270833,14,36
15/6/2018,100437.9514,2.544557889,78.35416667,29.56145833,18,38
16/6/2018,100307.6389,2.506838889,78.12152778,29.46701389,17,38
17/6/2018,100181.0764,5.006227111,69.14930556,29.89097222,20,40
18/6/2018,100157.0307,2.858919973,74.11262799,29.58395904,22,46
19/6/2018,100333.1802,2.138209696,73.44522968,30.28268551,24,32
20/6/2018,100440.0947,2.10363902,72.61742164,30.44551719,15,35
21/6/2018,100547.0091,2.069068343,71.7896136,30.60834887,15,48
22/6/2018,100653.9236,2.034497667,70.96180556,30.77118056,22,51
23/6/2018,100571.5972,2.425347222,69.46875,30.76666667,22,41
24/6/2018,100546.5505,2.29158623,70.8815331,30.38222997,19,31
25/6/2018,100531.5972,2.498456889,70.27777778,29.71076389,15,34
26/6/2018,100593.5612,1.389522532,78.21582734,28.91654676,18,39
27/6/2018,100686.9444,0.825471778,87.18402778,27.59791667,19,37
28/6/2018,100706.2847,0.499349889,79.60069444,28.55555556,19,39
29/6/2018,100561.7708,0.823453889,74.52777778,29.40659722,21,29
30/6/2018,100502.8472,2.182579667,76.90972222,29.62847222,14,36
1/7/2018,100552.8125,2.005781556,77.88888889,29.50381944,16,34
2/7/2018,100566.9097,2.750382556,79.55902778,28.87569444,14,36
3/7/2018,100518.9236,2.816817667,73.94097222,29.32777778,15,34
4/7/2018,100498.7153,3.035215333,72.71180556,29.42430556,14,47
5/7/2018,100364.9306,3.437551333,71.08333333,29.79618056,16,42
6/7/2018,100321.9097,3.615125556,74.71875,29.00069444,16,46
7/7/2018,100365.6944,3.827314333,70.86111111,29.5625,20,49
8/7/2018,100305.2431,3.434757333,69.75,30.16388889,23,47
9/7/2018,100376.2847,2.506062778,75.84375,28.99965278,20,54
10/7/2018,100429.7917,3.385396667,77.21875,28.99826389,24,39
11/7/2018,100388.6111,4.218474333,73.25,28.82222222,16,45
12/7/2018,100296.7708,3.660605667,72.69791667,29.08958333,17,42
13/7/2018,100247.8397,4.076163679,72.22648084,29.47560976,16,60
14/7/2018,100290.9028,2.845999444,74.45138889,29.26006944,24,40
15/7/2018,100403.2639,3.563281333,74.40972222,29.33020833,19,49
16/7/2018,100384.3403,3.546051667,76.63541667,28.82881944,21,47
17/7/2018,100150.3125,2.730514111,86.08333333,27.48125,23,37
18/7/2018,100024.2361,4.508429444,76.67361111,28.66284722,16,31
19/7/2018,100237.1181,1.754166333,78.35069444,28.78993056,15,39
20/7/2018,100401.7708,1.624555778,79.23611111,29.81423611,17,44
21/7/2018,100486.7944,3.002021575,74.29616725,30.42578397,20,39
22/7/2018,100490.6944,2.897378,77.10416667,29.47152778,19,47
23/7/2018,100428.8889,2.801916333,76.54861111,29.65763889,23,56
24/7/2018,100492.2569,3.28295,71.78819444,29.75902778,28,49
25/7/2018,100516.1111,2.769630111,75.77430556,29.81493056,22,47
26/7/2018,100527.5694,2.435281444,75.77430556,29.67847222,21,46
27/7/2018,100461.4286,3.146258174,74.32404181,30.15226481,22,36
28/7/2018,100456.1111,2.705212889,75.21180556,29.97916667,18,38
29/7/2018,100425.4167,2.126699667,78.60763889,29.12777778,20,44
30/7/2018,100509.375,1.834571444,82.30555556,27.88159722,20,45
31/7/2018,100630.1736,2.173887222,72.68402778,29.08611111,21,42
1/8/2018,100607.4306,3.205649333,71.36805556,29.39201389,21,46
2/8/2018,100651.4583,3.950405556,68.26041667,29.53125,23,43
3/8/2018,100534.3403,3.646325222,69.58680556,29.44965278,21,37
4/8/2018,100444.8611,2.833736889,72.44444444,29.69895833,18,44
5/8/2018,100472.5347,2.771027111,76.96180556,29.065625,17,32
6/8/2018,100460.2778,1.516055444,82.15277778,28.06493056,18,41
